Virus.name,District,Accession.number,Collection.date
hCoV-19/India/GJ-GBRC199/2020,Nadiad,EPI_ISL_469044,08/06/2020
hCoV-19/India/GJ-GBRC2/2020,Ahmedabad,EPI_ISL_435049,13/04/2020
hCoV-19/India/GJ-GBRC20/2020,Ahmedabad,EPI_ISL_437449,26/04/2020
hCoV-19/India/GJ-GBRC200/2020,Kapadvanj,EPI_ISL_469045,08/06/2020
hCoV-19/India/GJ-GBRC201a/2020,Mahemdavad,EPI_ISL_469046,08/06/2020
hCoV-19/India/GJ-GBRC202/2020,Dhanera,EPI_ISL_469048,05/06/2020
hCoV-19/India/GJ-GBRC203a/2020,Palanpur,EPI_ISL_475026,07/06/2020
hCoV-19/India/GJ-GBRC204a/2020,Palanpur,EPI_ISL_475028,07/06/2020
hCoV-19/India/GJ-GBRC205a/2020,Surat,EPI_ISL_475030,11/06/2020
hCoV-19/India/GJ-GBRC206/2020,Surat,EPI_ISL_475032,11/06/2020
hCoV-19/India/GJ-GBRC207a/2020,Surat,EPI_ISL_475033,11/06/2020
hCoV-19/India/GJ-GBRC208a/2020,Surat,EPI_ISL_475035,11/06/2020
hCoV-19/India/GJ-GBRC209a/2020,Surat,EPI_ISL_475037,11/06/2020
hCoV-19/India/GJ-GBRC21/2020,Ahmedabad,EPI_ISL_437450,26/04/2020
hCoV-19/India/GJ-GBRC210a/2020,Surat,EPI_ISL_475039,11/06/2020
hCoV-19/India/GJ-GBRC213a/2020,Surat,EPI_ISL_475043,11/06/2020
hCoV-19/India/GJ-GBRC214a/2020,Surat,EPI_ISL_475045,11/06/2020
hCoV-19/India/GJ-GBRC215/2020,Bharuch,EPI_ISL_475049,05/06/2020
hCoV-19/India/GJ-GBRC216a/2020,Vadodara,EPI_ISL_475050,08/06/2020
hCoV-19/India/GJ-GBRC217a/2020,Vadodara,EPI_ISL_475052,08/06/2020
hCoV-19/India/GJ-GBRC218a/2020,Vadodara,EPI_ISL_475054,08/06/2020
hCoV-19/India/GJ-GBRC219a/2020,Kheda,EPI_ISL_475056,08/06/2020
hCoV-19/India/GJ-GBRC22/2020,Ahmedabad,EPI_ISL_437451,26/04/2020
hCoV-19/India/GJ-GBRC220/2020,Mandvi,EPI_ISL_475058,05/06/2020
hCoV-19/India/GJ-GBRC221/2020,Bhuj,EPI_ISL_475059,05/06/2020
hCoV-19/India/GJ-GBRC222a/2020,Vadodara,EPI_ISL_476855,08/06/2020
hCoV-19/India/GJ-GBRC223a/2020,Vadodara,EPI_ISL_476857,08/06/2020
hCoV-19/India/GJ-GBRC224a/2020,Vadodara,EPI_ISL_476859,08/06/2020
hCoV-19/India/GJ-GBRC225a/2020,Savali,EPI_ISL_476861,08/06/2020
hCoV-19/India/GJ-GBRC226/2020,Dahegam,EPI_ISL_476863,11/06/2020
hCoV-19/India/GJ-GBRC227/2020,Ahmedabad,EPI_ISL_476864,11/06/2020
hCoV-19/India/GJ-GBRC228a/2020,Ahmedabad,EPI_ISL_476865,11/06/2020
hCoV-19/India/GJ-GBRC229a/2020,Palanpur,EPI_ISL_476867,12/06/2020
hCoV-19/India/GJ-GBRC23/2020,Ahmedabad,EPI_ISL_437452,26/04/2020
hCoV-19/India/GJ-GBRC230/2020,Surat,EPI_ISL_476869,11/06/2020
hCoV-19/India/GJ-GBRC231a/2020,Surat,EPI_ISL_476870,11/06/2020
hCoV-19/India/GJ-GBRC232a/2020,Surat,EPI_ISL_476872,11/06/2020
hCoV-19/India/GJ-GBRC233a/2020,Surat,EPI_ISL_476874,12/06/2020
hCoV-19/India/GJ-GBRC234/2020,Choryasi,EPI_ISL_477183,12/06/2020
hCoV-19/India/GJ-GBRC235a/2020,Surat,EPI_ISL_476876,12/06/2020
hCoV-19/India/GJ-GBRC236/2020,Surat,EPI_ISL_476878,12/06/2020
hCoV-19/India/GJ-GBRC237a/2020,Bardoli,EPI_ISL_476879,12/06/2020
hCoV-19/India/GJ-GBRC238a/2020,Choryasi,EPI_ISL_476881,12/06/2020
hCoV-19/India/GJ-GBRC239/2020,Gandhinagar,EPI_ISL_483820,11/06/2020
hCoV-19/India/GJ-GBRC240/2020,Vadodara,EPI_ISL_483821,05/06/2020
hCoV-19/India/GJ-GBRC241/2020,Vadodara,EPI_ISL_483822,08/06/2020
hCoV-19/India/GJ-GBRC242/2020,Himatnagar,EPI_ISL_483823,14/06/2020
hCoV-19/India/GJ-GBRC243/2020,Himatnagar,EPI_ISL_483824,14/06/2020
hCoV-19/India/GJ-GBRC244/2020,Ahmedabad,EPI_ISL_483825,14/06/2020
hCoV-19/India/GJ-GBRC245/2020,Modasa,EPI_ISL_483826,14/06/2020
hCoV-19/India/GJ-GBRC246/2020,Prantij,EPI_ISL_483827,19/06/2020
hCoV-19/India/GJ-GBRC247/2020,Talod,EPI_ISL_483828,19/06/2020
hCoV-19/India/GJ-GBRC248a/2020,Rajkot,EPI_ISL_483829,12/06/2020
hCoV-19/India/GJ-GBRC249a/2020,Rajkot,EPI_ISL_483831,12/06/2020
hCoV-19/India/GJ-GBRC24a/2020,Ahmedabad,EPI_ISL_437453,26/04/2020
hCoV-19/India/GJ-GBRC25/2020,Ahmedabad,EPI_ISL_444456,26/04/2020
hCoV-19/India/GJ-GBRC250a/2020,Chuda,EPI_ISL_483833,12/06/2020
hCoV-19/India/GJ-GBRC251a/2020,Junagadh,EPI_ISL_483835,12/06/2020
hCoV-19/India/GJ-GBRC252/2020,Rajkot,EPI_ISL_483837,12/06/2020
hCoV-19/India/GJ-GBRC253a/2020,Rajkot,EPI_ISL_483838,12/06/2020
hCoV-19/India/GJ-GBRC254a/2020,Rajkot,EPI_ISL_483840,12/06/2020
hCoV-19/India/GJ-GBRC255a/2020,Rajkot,EPI_ISL_483842,12/06/2020
hCoV-19/India/GJ-GBRC256a/2020,Jetpur,EPI_ISL_483844,12/06/2020
hCoV-19/India/GJ-GBRC257a/2020,Rajkot,EPI_ISL_483846,12/06/2020
hCoV-19/India/GJ-GBRC258a/2020,Gondal,EPI_ISL_483848,12/06/2020
hCoV-19/India/GJ-GBRC259/2020,Surat,EPI_ISL_483850,11/06/2020
hCoV-19/India/GJ-GBRC26/2020,Ahmedabad,EPI_ISL_444457,26/04/2020
hCoV-19/India/GJ-GBRC260a/2020,Surat,EPI_ISL_483851,11/06/2020
hCoV-19/India/GJ-GBRC261a/2020,Surat,EPI_ISL_483853,11/06/2020
hCoV-19/India/GJ-GBRC262/2020,Surat,EPI_ISL_483855,11/06/2020
hCoV-19/India/GJ-GBRC263a/2020,Surat,EPI_ISL_483856,12/06/2020
hCoV-19/India/GJ-GBRC264a/2020,Choryasi,EPI_ISL_483858,13/06/2020
hCoV-19/India/GJ-GBRC265/2020,Surat,EPI_ISL_483860,13/06/2020
hCoV-19/India/GJ-GBRC266/2020,Surat,EPI_ISL_483861,13/06/2020
hCoV-19/India/GJ-GBRC267a/2020,Choryasi,EPI_ISL_483862,13/06/2020
hCoV-19/India/GJ-GBRC268a/2020,Surat,EPI_ISL_483864,13/06/2020
hCoV-19/India/GJ-GBRC269/2020,Choryasi,EPI_ISL_483866,13/06/2020
hCoV-19/India/GJ-GBRC27/2020,Ahmedabad,EPI_ISL_444458,26/04/2020
hCoV-19/India/GJ-GBRC270/2020,Surat,EPI_ISL_483867,13/06/2020
hCoV-19/India/GJ-GBRC271a/2020,Surat,EPI_ISL_483868,13/06/2020
hCoV-19/India/GJ-GBRC272a/2020,Surat,EPI_ISL_483870,13/06/2020
hCoV-19/India/GJ-GBRC273a/2020,Choryasi,EPI_ISL_483872,13/06/2020
hCoV-19/India/GJ-GBRC274/2020,Surat,EPI_ISL_483874,13/06/2020
hCoV-19/India/GJ-GBRC275a/2020,Surat,EPI_ISL_483875,13/06/2020
hCoV-19/India/GJ-GBRC276/2020,Surat,EPI_ISL_483877,13/06/2020
hCoV-19/India/GJ-GBRC277a/2020,Olpad,EPI_ISL_483878,13/06/2020
hCoV-19/India/GJ-GBRC278a/2020,Daskroi,EPI_ISL_495014,18/06/2020
hCoV-19/India/GJ-GBRC279/2020,Dholka,EPI_ISL_495016,18/06/2020
hCoV-19/India/GJ-GBRC28/2020,Ahmedabad,EPI_ISL_444459,30/04/2020
hCoV-19/India/GJ-GBRC280/2020,Ahmedabad,EPI_ISL_495017,18/06/2020
hCoV-19/India/GJ-GBRC281/2020,Ahmedabad,EPI_ISL_495018,18/06/2020
hCoV-19/India/GJ-GBRC282/2020,Ahmedabad,EPI_ISL_495019,18/06/2020
hCoV-19/India/GJ-GBRC283/2020,Botad,EPI_ISL_495020,28/06/2020
hCoV-19/India/GJ-GBRC284a/2020,Bhavnagar,EPI_ISL_495021,30/06/2020
hCoV-19/India/GJ-GBRC285/2020,Bhavnagar,EPI_ISL_495023,02/07/2020
hCoV-19/India/GJ-GBRC286/2020,Ghogha,EPI_ISL_495024,03/07/2020
hCoV-19/India/GJ-GBRC287/2020,Mahuva,EPI_ISL_495025,04/07/2020
hCoV-19/India/GJ-GBRC288/2020,Vadodara,EPI_ISL_500946,15/06/2020
hCoV-19/India/GJ-GBRC289/2020,Vadodara,EPI_ISL_495026,05/06/2020
hCoV-19/India/GJ-GBRC29/2020,Ahmedabad,EPI_ISL_444460,30/04/2020
hCoV-19/India/GJ-GBRC290a/2020,Vadodara,EPI_ISL_495027,15/06/2020
hCoV-19/India/GJ-GBRC291/2020,Vadodara,EPI_ISL_495029,15/06/2020
hCoV-19/India/GJ-GBRC292a/2020,Vadodara,EPI_ISL_495030,15/06/2020
hCoV-19/India/GJ-GBRC293a/2020,Vadodara,EPI_ISL_495032,15/06/2020
hCoV-19/India/GJ-GBRC294/2020,Vadodara,EPI_ISL_495034,15/06/2020
hCoV-19/India/GJ-GBRC295/2020,Vadodara,EPI_ISL_495035,15/06/2020
hCoV-19/India/GJ-GBRC296a/2020,Vadodara,EPI_ISL_495036,15/06/2020
hCoV-19/India/GJ-GBRC297a/2020,Vadodara,EPI_ISL_495038,15/06/2020
hCoV-19/India/GJ-GBRC298a/2020,Vadodara,EPI_ISL_495040,15/06/2020
hCoV-19/India/GJ-GBRC299a/2020,Vadodara,EPI_ISL_495042,15/06/2020
hCoV-19/India/GJ-GBRC3/2020,Ahmedabad,EPI_ISL_435050,13/04/2020
hCoV-19/India/GJ-GBRC30/2020,Ahmedabad,EPI_ISL_444461,29/04/2020
hCoV-19/India/GJ-GBRC300a/2020,Vadodara,EPI_ISL_495044,15/06/2020
hCoV-19/India/GJ-GBRC301a/2020,Vadodara,EPI_ISL_495046,15/06/2020
hCoV-19/India/GJ-GBRC302a/2020,Vadodara,EPI_ISL_495048,15/06/2020
